bucket,county,sale_date,sale_time,sale_type,location,online_url,description,source_url,source_type,deadlines
auction,Houston,,,In Person,the rate of $3,,AND CONDITIONS ARE AS FOLLOWS: PUBLIC SALES: All tax forfeited land will be offered at a public sale and sold to the highest bidder.  The minimum bid acceptable is the basic sale price that is shown o,https://www.co.houston.mn.us/departments/auditor-treasurer/,county_webpage,Date not extracted - manual review needed
auction,Itasca,,,In Person,public auction,,"Tax Forfeited Land | Itasca County, MN Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Government Departments Residents ",https://www.co.itasca.mn.us/616/Tax-Forfeit-Land,county_webpage,Date not extracted - manual review needed
auction,Jackson,,,In Person,"Courthouse, Level 1",,ed Jackson County Fee schedule is available here. Tax Forfeited Properties - Tyler v. Hennepin Settlement website Drivers License Staff / Location Auditor/Treasurer - Kevin Nordquist Email Auditor/Tre,https://www.co.jackson.mn.us/auditor,county_webpage,Date not extracted - manual review needed
auction,Lac qui Parle,,,In Person,County Courthouse,"https://www.publicsurplus.com/sms/lacquiparlecore,mn/browse/home",asurer Property Tax Tax Forfeiture Tax Forfeiture Tax Forfeited Properties Tax Forfeiture Overview The Lac qui Parle County Auditor-Treasurer’s Office administers the disposition of tax forfeited prop,https://www.lqpco.com/319/Forfeited-Properties,county_webpage,Date not extracted - manual review needed
auction,Lake,,9:00 AM,In Person,"the Law Enforcement Center located at 601 3rd Ave, and interested bidders should complete a Bidder Registration form",,"This sale is for undivided interest parcels that tax-forfeited in 2025 and will consist of in-person auctions at the Law Enforcement Center, located at 601 3rd Ave in Two Harbors, MN at the dates and ",https://www.co.lake.mn.us/forestry/land-sales/,county_webpage,Date not extracted - manual review needed
auction,Lake of the Woods,,7:30,In Person,,,Treasurer’s Office administers the disposition of Tax-forfeited lands. These are properties that default to the State of Minnesota due to non-payment of taxes. Periodic public auctions will be held to,https://www.co.lake-of-the-woods.mn.us/community/land-sales/,county_webpage,Date not extracted - manual review needed
auction,Le Sueur,,,Unknown,,,THERE ARE CURRENTLY NO TAX FORFEITURE PROPERTIES AVAILABLE FOR SALE IN LE SUEUR COUNTY,https://www.co.le-sueur.mn.us/DocumentCenter/View/139/Forfeit-Property-for-Sale-PDF,pdf_page,Date not extracted - manual review needed
auction,Le Sueur,,,Unknown,the Le Sueur County Auditor-Treasurer’s Office,,e Surplus Notice Former owners and lienholders of tax forfeited property may be able to collect money from a class action settlement.  Visit MNTaxForfeitureSettlement.com or call 1-833-709-0093 to lea,https://www.co.le-sueur.mn.us/185/Auditor-Treasurer-Office,pdf_page,Date not extracted - manual review needed
auction,Meeker,,8:00 am,In Person,Auditor's Office at 320-693-5212,,(PDF) explains the terms of sale when purchasing tax forfeited property in Meeker County.  Any questions should be directed to the Meeker County Auditor's Office at 320-693-5212. Contact Us Holly Nels,https://www.co.meeker.mn.us/336/Tax-Forfeit-Property,county_webpage,Date not extracted - manual review needed
auction,Mille Lacs,,,Online,,,olicy Tax Forfeiture Surplus Notice 2024 Property Tax Forfeited Land Sale Surplus 2025 Property Tax Forfeited Land Sale Surplus Contact Us Auditor-Treasurer's Office Physical Address View Map 635 2nd ,https://www.millelacs.mn.gov/2700/Tax-Forfeited-Property,county_webpage,Date not extracted - manual review needed
auction,Morrison,,,Unknown,,,"EASURER Land Land Last Content Update: Last month Tax Forfeited Land Sale Morrison County Online Tax Forfeited Land Sale Starts February 10th, 2026 at 8AM Press Release (PDF) Notice of Tax Forfeited L",https://www.co.morrison.mn.us/283/Land,county_webpage,Date not extracted - manual review needed
auction,Mower,,,Online,,,"Tax Forfeited Properties For Sale | Mower County, MN Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Search Board Depart",https://www.co.mower.mn.us/191/Tax-Forfeited-Properties-For-Sale,county_webpage,Date not extracted - manual review needed
auction,Nicollet,,4:30,Unknown,County Government Center,,"Tax Forfeited Properties | Nicollet County, MN - Official Website Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Search",https://www.co.nicollet.mn.us/170/Tax-Forfeited-Properties,county_webpage,Date not extracted - manual review needed
auction,Olmsted,,,Online,a reduced amount to facilitate a sale,,age. Statement of Claim for Surplus Proceeds from Tax Forfeited Land Sale This item appears in Property Taxes Share this page Online Property Information Residents Business Government I Want To I Want,https://www.olmstedcounty.gov/business/business-licensing-permits/sales/tax-forfeited-property#land-auctions__open--121118826,county_webpage,Date not extracted - manual review needed
auction,Pennington,,,Unknown,,,parcel) Handles Confession of Judgements Conducts Tax Forfeited Land Sales on behalf of the County Property Tax Collection The Auditor-Treasurer is the chief financial officer of all county funds and ,https://co.pennington.mn.us/index.php/services/treasurer,county_webpage,Date not extracted - manual review needed
auction,Polk,,8:00,Unknown,,,ls and corrections. Information about the sale of tax-forfeited land in Polk County can be obtained at the office of the Taxpayer Service Center . Parcel Number City or Township Purchase Price Forfeit,https://www.co.polk.mn.us/190/Forfeited-Property-Currently-for-Sale,county_webpage,Date not extracted - manual review needed
auction,Ramsey,,4:30,Online,,,"Tax-Forfeited Public Sales | Ramsey County, Minnesota Skip to main content Language Home / Residents / Property & Home / Taxes & Values / Productive Properties / Tax-Forfeited Public Sales Property & ",https://www.ramseycounty.us/residents/property-home/property-sales/tax-forfeited-public-sales,county_webpage,Date not extracted - manual review needed
auction,Roseau,,,In Person,Courthouse pic - cropped,,The Mural in Badger Latest News May 29 [2ND SALE] Tax Forfeited Land Sale May 26 Notice of Filing for the 2026 State General Election Apr 01 Boards of Appeal and Equalization Dec 03 Sign up for Emerge,https://www.co.roseau.mn.us/government/a_-_e/assessor/index.php,county_webpage,Date not extracted - manual review needed
auction,Scott,,,Unknown,,,County Drainage Ditches CD-10 Repair Report (PDF) Tax Forfeited Properties Delinquent Property Taxes Property & Taxation Online Applications Building Inspections Search for Property Information Home D,https://www.scottcountymn.gov/1163/Property-Taxation-Services,pdf_page,Date not extracted - manual review needed
auction,Sherburne,,4:30,In Person,the Sherburne Coun,,"Tax Forfeited Parcels | Sherburne County, MN Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Search How Do I... Your Gov",https://www.co.sherburne.mn.us/232/Tax-Forfeited-Parcels,county_webpage,Date not extracted - manual review needed
auction,Sibley,,,In Person,Courthouse,,"/606/delinquent-property-taxes Delinquent Taxes & Tax Forfeiture Mobile Home Taxes Tax Payment Reminders PROPERTY TAX 101 Basic Information on how Taxes are calculated, etc: Terms and Concepts Propert",https://www.sibleycounty.gov/238/Property-Tax,county_webpage,Date not extracted - manual review needed
auction,Stearns,,,Unknown,,,"Tax-Forfeited Property | Stearns County, MN - Official Website Skip to Main Content Property Licenses Elections Finance How Do I Opens in a new window Home Departments Auditor - Treasurer's Office Pro",https://www.stearnscountymn.gov/691/Tax-Forfeited-Property,county_webpage,Date not extracted - manual review needed
auction,Stevens,,"8:30
am",Unknown,,,m to 4:00 pm Directory Assessor Auditor/Treasurer Tax Forfeiture Elections Absentee Voting Campaign Finance Reports Guide to Voting for College Students Mail Balloting Sample Ballots Redistricting Vot,https://www.co.stevens.mn.us/888/Assessor,county_webpage,Date not extracted - manual review needed
auction,Wadena,,,Unknown,,,"Tax Forfeited Land | Wadena County, MN - Official Website Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Departments Do",http://www.co.wadena.mn.us/322/Tax-Forfeited-Land,county_webpage,Date not extracted - manual review needed
auction,Waseca,,,Unknown,,,"e which could be obtained at a private sale or an auction sale, if is determined by the assessor that the price from the auction sale represents an arm's-length transaction. The price obtained at a fo",https://www.wasecacounty.gov/103/Assessors-Office,county_webpage,Date not extracted - manual review needed
auction,Watonwan,,8:00,In Person,Courthouse,,"Tax Forfeited Sale | Watonwan County, MN - Official Website Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Departments ",https://www.co.watonwan.mn.us/130/Tax-Forfeited-Sale,county_webpage,Date not extracted - manual review needed
auction,Wilkin,,,Unknown,,,"ls Commissioner Districts School District Locator Tax Forfeit Sales Tax Parcel Viewer Mapping & GIS Hub Services available: Birth, Death and Marriage Certificates Marriage License Applications Propert",https://www.co.wilkin.mn.us/auditortreasurer,county_webpage,Date not extracted - manual review needed
auction,Winona,,,Unknown,,,and sets the terms and date of the Tax Forfeiture Land Sale Department of Revenue approves the classification and sale of the property The parcel is removed from the tax roll and the parcel forfeits t,https://www.co.winona.mn.us/179/Forfeited-Tax-Sales,county_webpage,Date not extracted - manual review needed
auction,Wright,,,Online,County Buildings?,,"rcel sales that had surplus proceeds, Click Here. Tax forfeited parcels are properties on which real estate taxes were not paid. Title to the land and buildings were forfeited, and they are now vested",https://www.co.wright.mn.us/191/Tax-Forfeiture,county_webpage,Date not extracted - manual review needed
otc,Beltrami,2026-05-26,8:00 am,Over The Counter,,,"Tax Forfeited Land Sales | Beltrami County This website uses cookies to enhance usability and provide you with a more personal experience. By using this website, you agree to our use of cookies as exp",https://www.co.beltrami.mn.us/business-development/tax-forfeited-land-sales/,county_webpage,
otc,Isanti,2026-06-09,8:00,Over The Counter,an initial publ,,"Tax Forfeited Property | Isanti County, MN Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Isanti County Government Cent",https://www.co.isanti.mn.us/228/Tax-Forfeited-Property,county_webpage,
otc,Isanti,2026-06-10,8:00,Over The Counter,an initial publ,,"Tax Forfeited Property | Isanti County, MN Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Isanti County Government Cent",https://www.co.isanti.mn.us/228/Tax-Forfeited-Property,county_webpage,
otc,Itasca,2026-06-12,10:00,Over The Counter,,,llowing services for Itasca County: Access Across Tax Forfeited Land Sale of Tax Forfeited Land Utility Easements Land Acquisition Exchange of Tax Forfeited Land Tax Forfeited Land Mining Lease Manage,https://www.co.itasca.mn.us/304/Real-Estate,county_webpage,
otc,Itasca,2026-06-15,10:00,Over The Counter,,,llowing services for Itasca County: Access Across Tax Forfeited Land Sale of Tax Forfeited Land Utility Easements Land Acquisition Exchange of Tax Forfeited Land Tax Forfeited Land Mining Lease Manage,https://www.co.itasca.mn.us/304/Real-Estate,county_webpage,
otc,Koochiching,2026-06-15,,Over The Counter,,,"Tax Forfeited Land Sale Information | Koochiching County, MN Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Government ",https://www.co.koochiching.mn.us/259/Tax-Forfeited-Land-Sales,county_webpage,
otc,Itasca,2026-06-26,10:00,Over The Counter,,,llowing services for Itasca County: Access Across Tax Forfeited Land Sale of Tax Forfeited Land Utility Easements Land Acquisition Exchange of Tax Forfeited Land Tax Forfeited Land Mining Lease Manage,https://www.co.itasca.mn.us/304/Real-Estate,county_webpage,
otc,Isanti,2026-07-09,8:00,Over The Counter,an initial publ,,"Tax Forfeited Property | Isanti County, MN Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Isanti County Government Cent",https://www.co.isanti.mn.us/228/Tax-Forfeited-Property,county_webpage,
otc,Big Stone,,8:00,Over The Counter,,,esota for non-payment of taxes: Public Sales: All tax forfeited lands are appraised and offered at a public sale and sold to the highest bidder.  The minimum bid acceptable is the appraised value. Pri,https://bigstonecounty.gov/departments/auditor-treasurer/forfeited-land/,county_webpage,Date not extracted - manual review needed
otc,Blue Earth,,,Over The Counter,,,"nd Records Taxation Tax Forfeiture Tax Forfeiture Tax-Forfeited Parcels Tax-forfeited parcels are properties on which delinquent property taxes were not paid, title to the land and buildings was forfe",https://www.blueearthcountymn.gov/463/Tax-Forfeiture,county_webpage,Date not extracted - manual review needed
otc,Chippewa,,4:30 pm,Over The Counter,,,"remain in inventory until sold. When purchasing a Tax Forfeited property off of a sale or over-the-counter, it is important to review the Terms and Condition. Please click on the link below to view th",https://www.co.chippewa.mn.us/311/Tax-Forfeiture-List,county_webpage,Date not extracted - manual review needed
otc,Crow Wing,,,Over The Counter,,,"ES, OR GUARANTEES WITH RESPECT TO ACCESS TO STATE TAX FORFEITED LANDS SOLD. Crow Wing County makes no warranty, guaranty or representation of any kind, expressed or implied, as to the condition, usabi",https://crowwing.us/269/Land-Sales,county_webpage,Date not extracted - manual review needed
otc,DNR,,,Over The Counter,DNR or county offices near the parcels to be sold,,ses (non-mineral) Strategic Land Asset Management Tax-forfeited land reviews Utility crossing licenses Page Menu Land for sale Land sales are a vital part of the DNR's efforts to strategically and reg,https://www.dnr.state.mn.us/lands_minerals/landsale/index.html,other,Date not extracted - manual review needed
otc,Dakota,,9:45,Over The Counter,,,Tax-Forfeited Property | Dakota County Skip to main content Turn on more accessible mode Turn off more accessible mode Skip Ribbon Commands Turn off Animations Turn on Animations Follow Alert: Due to ,https://www.co.dakota.mn.us/HomeProperty/Forfeited,county_webpage,Date not extracted - manual review needed
otc,Grant,,,Over The Counter,,,"Tax Forfeiture Properties | Grant County, MN - Official Website Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Departme",https://www.co.grant.mn.us/371/Tax-Forfeiture-PropertiesFor-Immediate-S,county_webpage,Date not extracted - manual review needed
otc,Hubbard,,,Over The Counter,County Government Center,,"Tax Forfeited Lands - Hubbard County, MN Skip to main content search menu Search Home Your Government Board of Commissioners HRA/EDA Development Parcel for Sale Extension Service Soil & Water Conserva",https://co.hubbard.mn.us/tfl,county_webpage,Date not extracted - manual review needed
otc,MN DOT,,1:45 PM,Over The Counter,,,"- Available Real Estate Email updates Sign up for land sale email updates Last Update: April 13, 2026 Title VI Compliance All MnDOT property sales are conducted in accordance Title VI of the Civil Rig",https://www.dot.state.mn.us/row/propsales.html,other,Date not extracted - manual review needed
otc,Saint Louis,,,Over The Counter,,,Tax-Forfeited Land Sales Our County About St. Louis County Board of Commissioners Social Media Other Boards & Committees I Want To... Apply For/Renew Find Pay For Report Subscribe To Volunteer Residen,https://www.stlouiscountymn.gov/departments-a-z/land-minerals/sales-and-contracts/tax-forfeited-land-sales,county_webpage,Date not extracted - manual review needed
otc,Yellow Medicine,,,Over The Counter,,,ONSULT WITH YOUR ATTORNEY PRIOR TO PURCHASING ANY TAX FORFEITED PROPERTIES. IMPORTANT NOTICE: YOU MAY NOT HAVE CLEAR TITLE TO PROPERTY AFTER PURCHASE. Tax forfeiture will create a break in the chain o,https://www.co.ym.mn.gov/index.asp?SEC=D7845C79-6866-43C2-81C3-44B92DBEA6F2,county_webpage,Date not extracted - manual review needed
